バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
76,あじさいのまち北中山　北中山公民館（南）,kitanakayamakouminkan,"","","",35.952175,136.2382,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
77,樋口（南）,higuchi,"","","",35.953266,136.210678,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
78,桜あふれるまち中河　中河小学校前（南）,nakagawashougakkoume,"","","",35.954727,136.209076,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
79,神中町１丁目（南）,kaminakachou１choume,"","","",35.968906,136.195679,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
80,越のゆ前（神中町２丁目東）（南）,koshinoyumae,"","","",35.969734,136.192719,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
81,神中町２丁目（南）,kaminakachou２choume,"","","",35.971031,136.18808,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
82,体育館北（北）,taiikukankita,"","","",35.946751,136.198571,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
83,体育館西（西）,taiikukannishi,"","","",35.944308,136.196372,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
84,柳町３丁目（南）,yanagimachi３choume,"","","",35.946465,136.191833,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
85,柳町１丁目（南）,yanagimachi１choume,"","","",35.946388,136.190277,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
86,JR鯖江駅（１番のりば）,JRsabaeeki,"","","",35.943306,136.188187,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
87,本町1丁目（西）,hommachi１choume,"","","",35.944523,136.185135,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
88,本町２丁目（西）,hommachi２choume,"","","",35.945847,136.185257,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
89,市民ホールつつじ前（本山前）（南）,shiminh?rutsutsujimae,"","","",35.946411,136.18454,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
90,西鯖江駅前（南）,nishisabaeekimae,"","","",35.94685,136.182343,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
91,嚮陽会館（南）,kyouyoukaikan,"","","",35.947071,136.180054,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
92,熊田（南）,kumada,"","","",35.948353,136.166306,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
93,石田中（西）,ishidanaka,"","","",35.973766,136.158356,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
94,石田上（西）,ishidakami,"","","",35.978546,136.159765,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
95,公立丹南病院（２番のりば）,kouritsutannambyouin,"","","",35.969696,136.178467,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
96,ふくしん神明支店前（三六町２丁目）（北）,fukushinshimmeishitemmae,"","","",35.972862,136.179453,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
97,住吉町１丁目,sumiyoshichou１choume,"","","",35.942054,136.180301,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
98,ひまわり公園,himawarikouen,"","","",35.940343,136.179783,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
99,住吉町２丁目,sumiyoshichou２choume,"","","",35.939919,136.178207,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
100,ふれあいみんなの館・さばえ,fureaiminnanoyakata・sabae,"","","",35.937511,136.180222,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
101,舟津西,funatsunishi,"","","",35.930817,136.178787,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
102,舟津町４丁目,funatsuchou４choume,"","","",35.934364,136.181473,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
103,宮前（サンドーム前）（北）,miyamae,"","","",35.932438,136.188324,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
104,五郎丸南,goroumaruminami,"","","",35.932618,136.19141,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
